function	Fl_1	Fl_10	Fl_11	Fl_12	Fl_13	Fl_14	Fl_15	Fl_16	Fl_17	Fl_18	Fl_19	Fl_2	Fl_3	Fl_4	Fl_5	Fl_6	Fl_7	Fl_8	Fl_9	Fl_Arg_1	Fl_Arg_10	Fl_Arg_11	Fl_Arg_12	Fl_Arg_13	Fl_Arg_14	Fl_Arg_15	Fl_Arg_16	Fl_Arg_17	Fl_Arg_18	Fl_Arg_19	Fl_Arg_2	Fl_Arg_3	Fl_Arg_4	Fl_Arg_5	Fl_Arg_6	Fl_Arg_7	Fl_Arg_8	Fl_Arg_9
K08738	928.0	950.0	1866.0	448.0	388.0	2785.0	345.0	1376.0	994.0	334.0	810.5	9.0	1315.0	780.0	1784.0	449.0	500.0	422.0	1891.5	226.0	3162.0	778.0	806.0	898.0	691.0	368.0	2655.0	471.0	1256.0	507.0	1272.0	355.0	2343.0	728.0	1213.0	226.0	1006.0	1990.0
K08744	514.0	1081.5	423.0	659.0	543.0	2055.0	813.0	841.0	897.5	689.0	582.5	1034.5	813.5	878.0	1062.0	974.0	790.5	503.0	1180.5	878.0	411.0	1286.0	1811.5	996.5	166.0	1142.5	1107.5	1495.0	1562.5	474.0	1092.0	518.5	1414.5	1266.0	786.0	688.0	1569.0	1954.0
K08884	17031.42	28109.75	15175.85	23170.66	16579.83	112512.51999999999	28271.42	25202.58	21327.33	22214.33	16157.24	23335.09	19683.92	25175.93	23833.35	21700.08	22887.67	20950.18	14863.51	29442.43	17059.33	39169.58	31022.1	34081.16	8676.75	31746.66	31697.160000000003	15748.29	57786.17999999999	31818.670000000002	35293.84	24254.5	21971.010000000002	33845.08	28753.58	45062.67	35865.34	35641.0
K08902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0
K08903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0
K08906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0
K08961	312.0	287.0	214.0	162.0	53.0	602.0	396.0	485.0	156.0	375.0	618.0	916.0	194.0	284.0	0.0	104.0	202.0	327.0	339.0	458.0	196.0	181.0	455.0	402.0	382.0	377.0	510.0	167.2	339.0	120.0	35.0	785.0	26.0	177.0	287.0	88.0	526.0	0.0
K08963	3079.33	1505.0	2344.58	3286.66	1724.0	5132.34	3175.17	1749.17	1487.92	3248.5	3101.24	4175.25	2418.5	2570.67	1458.67	1740.33	2855.33	2596.01	1989.01	5081.01	2611.75	4881.17	2866.34	4449.33	1380.5	3661.66	3303.66	2616.0	5748.84	1761.5	2185.0	3458.0	1046.0	3554.5	2606.75	4526.17	5743.01	1055.0
K08964	0.0	0.0	0.0	12.0	16.0	58.0	33.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0
K08965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
