	Fl_1	Fl_10	Fl_11	Fl_12	Fl_13	Fl_14	Fl_15	Fl_16	Fl_17	Fl_18	Fl_19	Fl_2	Fl_3	Fl_4	Fl_5	Fl_6	Fl_7	Fl_8	Fl_9	Fl_Arg_1	Fl_Arg_10	Fl_Arg_11	Fl_Arg_12	Fl_Arg_13	Fl_Arg_14	Fl_Arg_15	Fl_Arg_16	Fl_Arg_17	Fl_Arg_18	Fl_Arg_19	Fl_Arg_2	Fl_Arg_3	Fl_Arg_4	Fl_Arg_5	Fl_Arg_6	Fl_Arg_7	Fl_Arg_8	Fl_Arg_9
2886aafde10654d1fa0301c1e370a248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	68.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5d559fb3139462ac817a6676dbe8a938	0.0	0.0	0.0	13.0	0.0	16.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	21.0	89.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0
45d1395d578bddb682a57d826020a495	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	76.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24c72b86456967d17ddfb7dbf8f72e8e	72.0	0.0	0.0	31.0	0.0	15.0	29.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ba54a73fb681d294a6db53acfd6df2d1	0.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0
5ac6e6a2a8d4da5818f6db8fee8a31fd	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	36.0	0.0	37.0	67.0	0.0	0.0	0.0	0.0	8.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	68.0	0.0	0.0	0.0	0.0	18.0	0.0
0dc798941818e5c720bde622a5b72be7	0.0	0.0	0.0	17.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	39.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0
d7f3682d0378e62038ece7c60d75ab49	0.0	0.0	0.0	69.0	15.0	48.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	38.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
618c3b509e7ef1205ccc77dc12c6a735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	32.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	34.0	0.0	0.0	40.0	0.0	0.0	0.0
5eb528c7ac43985d9bb9e1d877103d1d	0.0	9.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	41.0	46.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0
